name,start,end,length,u,kappa
65,20,48,582.0950002439464,20.0,0.2
66,20,54,545.5456540244821,20.0,0.2
67,20,163,522.1030189723098,20.0,0.2
68,21,57,485.4750545403958,20.0,0.2
69,21,163,540.1317908844101,20.0,0.2
70,21,172,520.3063930647016,20.0,0.2
71,21,177,474.6125958600338,20.0,0.2
72,22,154,769.5379128087195,20.0,0.2
73,22,163,712.803521967309,20.0,0.2
74,22,171,836.1205128215669,20.0,0.2
75,22,176,499.59000000000015,20.0,0.2
76,23,25,760.891911443407,20.0,0.2
77,23,49,741.9219041954487,20.0,0.2
78,23,51,685.9642513280124,20.0,0.2
79,23,190,688.5991281580307,20.0,0.2
80,24,27,772.7611320776937,32.68420966620501,0.2
81,25,23,760.891911443407,20.0,0.2
82,25,26,594.7328668402304,22.642857142857142,0.2
83,26,19,540.05674535182,20.0,0.2
84,26,24,342.9986583793002,20.884614581360974,0.2
85,24,39,755.6954120047317,18.545454545454547,0.2
86,24,121,422.15875124175705,25.440001017600043,0.2
87,27,51,576.2866099433511,27.17647138754328,0.2
88,28,9,416.20458346827525,20.0,0.2
89,28,18,450.0169696800335,20.0,0.2
90,28,29,341.2593677835089,15.599999554285729,0.2
91,28,38,80.40879802608623,43.0,0.2
92,29,18,393.6180373153653,20.0,0.2
93,29,35,421.50808070545924,22.5,0.2
94,30,1,342.1126101972859,20.0,0.2
95,30,2,259.89223016473517,20.0,0.2
96,30,33,464.67804200865766,21.727272727272727,0.2
97,30,184,396.1692411078878,19.09090909090909,0.2
98,31,1,277.1106518992007,20.0,0.2
99,31,2,324.63408231422613,20.0,0.2
100,31,30,65.12847994541274,20.999995800000843,0.2
101,31,37,449.93206787247306,28.920001156800048,0.2
102,32,31,373.05181543587145,15.71052590235458,0.2
103,33,34,64.19755020442723,50.99997450001275,0.2
104,34,155,260.34569365028875,18.81818267355376,0.2
105,35,36,230.3600219222082,33.54545149586804,0.2
106,35,37,66.80913111244578,35.0,0.2
107,36,2,359.64427424887396,20.0,0.2
108,36,30,220.31082701492448,7.695652341209834,0.2
109,37,35,66.80913111244578,35.0,0.2
110,37,38,791.5743231055437,37.32353050951561,0.2
111,37,142,159.59543508509256,28.33333333333333,0.2
112,38,9,490.26955045158627,20.0,0.2
113,38,18,405.69069326273666,20.0,0.2
114,38,45,127.41918615342078,22.500002250000225,0.2
115,33,67,403.9152595532881,46.07142528061247,0.2
116,34,32,87.12420239089798,27.75000693750173,0.2
117,34,33,64.19755020442723,50.99997450001275,0.2
118,39,3,332.0268347965265,40.0,0.2
119,39,40,95.83754966087116,14.624998171875228,0.2
120,39,46,63.92729346687529,20.999995800000843,0.2
121,40,43,416.86075948690626,31.857142857142858,0.2
122,39,24,755.6954120047317,27.976744836668484,0.2
123,41,42,61.48278783529571,24.750006187501544,0.2
124,41,54,815.6393257445351,24.166666666666668,0.2
125,41,160,330.05484771473954,37.71428302040835,0.2
126,42,41,61.48278783529571,33.0,0.2
127,42,3,386.8483568531737,21.77777777777778,0.2
128,42,76,552.9478847956651,27.74999913281253,0.2
129,43,9,454.0531397314639,20.0,0.2
130,43,18,552.1615931953255,20.0,0.2
131,43,44,65.22262874187139,50.99997450001275,0.2
132,44,28,143.23632814338612,18.0,0.2
133,45,43,69.37335079120828,55.49997225001388,0.2
134,45,46,498.0094121851515,11.723076742721895,0.2
135,46,55,571.831663800633,37.75,0.2
136,46,39,63.92729346687529,33.0,0.2
137,46,41,711.0307570879056,20.5,0.2
138,47,20,524.6336637397565,20.0,0.2
139,48,20,582.0950002439464,20.0,0.2
140,48,42,374.7847322410559,20.1,0.2
141,48,47,61.983409683559834,49.499975250012376,0.2
142,48,107,1061.7006929116135,27.435483428459943,0.2
143,49,23,741.9219041954487,20.0,0.2
144,49,25,755.7461670594171,20.491525076414828,0.2
145,49,125,358.4382765902656,13.692307692307692,0.2
146,49,189,276.724750474185,29.0,0.2
147,50,49,133.3423200825604,17.5,0.2
148,51,23,685.9642513280124,20.0,0.2
149,51,49,344.6464269726295,19.03448210225924,0.2
150,51,124,333.43117625681043,24.272728376033108,0.2
151,52,53,276.78972640074636,19.30434698676752,0.2
152,52,102,417.15674416339,11.892856930484696,0.2
153,53,48,462.5190357260982,26.46428665943881,0.2
154,53,54,70.3589501129743,37.0,0.2
155,53,74,189.4770130147719,30.3000030300003,0.2
156,54,20,545.5456540244821,20.0,0.2
157,54,52,292.16953331927,10.4,0.2
158,54,53,70.3589501129743,37.0,0.2
159,3,65,796.410004206376,47.77777777777778,0.2
160,55,56,1113.9149211088786,35.339999293200016,0.2
161,56,70,229.44792508323178,19.94117529757792,0.2
162,57,21,485.4750545403958,20.0,0.2
163,57,46,937.7149325813255,28.52830134852261,0.2
164,56,57,748.2982082271745,35.382353981833944,0.2
165,56,177,189.50176916324503,31.8749960156255,0.2
166,56,158,528.0516268472243,37.63636534710752,0.2
167,58,13,415.7994878135362,20.0,0.2
168,58,5,433.64172556847,37.16666666666666,0.2
169,58,187,220.58569814246778,41.99999475000066,0.2
170,58,61,204.68541234049843,32.10000321000032,0.2
171,58,91,262.1984191428323,40.500004050000406,0.2
172,59,4,250.00475160484444,40.0,0.2
173,59,60,485.7911470220514,48.75000304687519,0.2
174,60,4,264.74944419205167,20.0,0.2
175,60,24,559.2003641361482,39.13636541528934,0.2
176,60,3,593.0252083174881,46.142857142857146,0.2
177,61,13,328.54550108166114,20.0,0.2
178,61,64,334.17809652938064,33.2,0.2
179,62,5,90.90441399624139,20.0,0.2
180,62,58,344.2400358035073,21.461537636094704,0.2
181,63,10,325.6104317278555,40.0,0.2
182,63,59,238.3485014112735,47.999994000000754,0.2
183,59,63,238.3485014112735,47.999994000000754,0.2
184,59,103,217.28681971992702,40.124994984375626,0.2
185,63,64,179.75734384441725,44.5,0.2
186,64,10,319.76158661727936,40.0,0.2
187,64,58,538.8545157322148,22.973683605955696,0.2
188,64,103,360.60256633723463,39.64285431122469,0.2
189,64,63,179.75734384441725,38.57143408163344,0.2
190,65,4,121.53373235443775,20.0,0.2
191,65,59,285.2091026334896,45.60000456000046,0.2
192,67,66,193.65877497547052,38.99999512500061,0.2
193,67,184,476.68663975928683,39.000002052631686,0.2
194,67,33,403.9152595532881,46.71428237755126,0.2
195,68,99,397.8615654169173,39.93750249609391,0.2
196,68,100,472.17110778191415,19.89473631855957,0.2
197,68,164,851.8114851779119,35.07692307692308,0.2
198,69,68,302.0710073625075,40.25,0.2
199,70,17,645.3435984295494,40.0,0.2
200,70,72,112.42293944742747,29.39999412000118,0.2
201,70,181,755.3096917483588,27.83720994970256,0.2
202,70,71,160.7013629375941,13.578948083102532,0.2
203,71,56,72.33748077587413,43.49997825001088,0.2
204,72,140,902.9771330526596,21.929577155921447,0.2
205,73,12,323.9915012913144,20.0,0.2
206,73,53,534.9525269414096,40.85714285714285,0.2
207,74,105,864.8153734664988,39.85714171836738,0.2
208,75,12,382.58273021792286,20.0,0.2
209,75,48,424.2854837064305,40.058821173010514,0.2
210,76,42,552.9478847956651,40.36363819834719,0.2
211,76,109,341.34707784892504,26.0,0.2
212,77,5,279.185441642737,20.0,0.2
213,77,62,364.5849756658252,34.235292103806344,0.2
214,77,113,393.7998847857246,40.4,0.2
215,78,88,166.47651250551783,37.71429110204159,0.2
216,79,8,354.2956371958305,20.0,0.2
217,79,16,190.34518057728764,20.0,0.2
218,79,80,405.6344548346456,40.68750254296892,0.2
219,79,90,168.56462628914753,38.57143408163344,0.2
220,79,94,282.56649005145624,23.684211772853253,0.2
221,80,16,217.75244323772776,20.0,0.2
222,80,79,405.6344548346456,34.26315969806104,0.2
223,80,86,313.64288967550345,38.769233751479526,0.2
224,80,87,366.8059326796664,39.5999980200001,0.2
225,81,91,324.8598247875535,32.43750202734388,0.2
226,81,124,338.05513582994087,38.78571151530632,0.2
227,82,92,407.12937648983257,22.46153846153846,0.2
228,83,16,246.10369151233806,20.0,0.2
229,83,79,56.079240089358784,43.49997825001088,0.2
230,84,16,290.35514535823233,20.0,0.2
231,84,96,180.6013683336864,41.142863020409,0.2
232,85,87,326.3099710398078,40.87500255468766,0.2
233,86,80,313.64288967550345,29.64705707958488,0.2
234,86,87,297.6345861303757,23.849998807500057,0.2
235,86,98,248.21070049657402,36.27272397520692,0.2
236,87,80,366.8059326796664,39.5999980200001,0.2
237,87,82,102.79758938807844,23.57143193877599,0.2
238,87,86,297.6345861303757,19.875,0.2
239,88,63,301.004244669407,37.38461826035525,0.2
240,89,86,542.9279486120512,26.454545454545453,0.2
241,89,95,214.59241848231764,21.562501347656337,0.2
242,89,97,700.2706159944804,28.846153846153847,0.2
243,90,79,168.56462628914753,18.0,0.2
244,90,97,287.6873453525544,41.727268933884645,0.2
245,91,58,262.1984191428323,10.125000253125007,0.2
246,91,78,189.73019206494286,37.87499526562559,0.2
247,91,81,324.8598247875535,39.92307999408308,0.2
248,92,85,245.69053697893983,32.25,0.2
249,92,95,1241.5066216597477,39.70588235294117,0.2
250,92,110,182.4237099063608,41.57143451020493,0.2
251,93,8,173.4301763361845,20.0,0.2
252,93,83,127.04555726588767,34.0,0.2
253,94,8,78.22993209763112,20.0,0.2
254,94,100,311.24845381784587,10.89130458459358,0.2
255,95,89,214.59241848231764,38.333333333333336,0.2
256,95,92,1241.5066216597477,20.049504751985104,0.2
257,96,8,134.26322512512525,20.0,0.2
258,96,90,266.274821417647,38.45454195867801,0.2
259,96,94,72.60399317530707,28.50000712500178,0.2
260,97,89,700.2706159944804,19.067796286986503,0.2
261,97,90,287.6873453525544,30.6,0.2
262,97,99,230.12388368876492,41.0,0.2
263,98,89,295.6446556048156,7.523809523809524,0.2
264,99,68,397.8615654169173,42.6,0.2
265,99,96,374.61635125151724,40.0,0.2
266,99,97,230.12388368876492,26.35714097448993,0.2
267,100,68,472.17110778191415,39.78947577839347,0.2
268,100,96,383.79787853634605,41.0,0.2
269,100,101,114.4425852381885,25.714289387755624,0.2
270,101,100,114.4425852381885,35.99999280000144,0.2
271,101,105,782.0132841742524,40.354840011446456,0.2
272,102,165,634.2532535044659,20.816326955435244,0.2
273,103,64,360.60256633723463,24.1304337334594,0.2
274,103,76,515.4490221826022,39.285714285714285,0.2
275,103,104,189.00825279600895,42.85714897959271,0.2
276,104,103,189.00825279600895,42.85714897959271,0.2
277,104,107,265.0242938977482,38.72726920661189,0.2
278,105,73,524.4789276987211,40.0,0.2
279,105,106,318.8104146416801,39.46154149704166,0.2
280,105,188,330.5905959415663,40.615387739645215,0.2
281,106,12,314.5688724667467,20.0,0.2
282,106,105,318.8104146416801,39.46154149704166,0.2
283,106,107,207.15148302872447,41.24999484375065,0.2
284,107,12,350.2283240915852,20.0,0.2
285,107,75,637.8837872410621,40.80000163200007,0.2
286,107,104,265.0242938977482,38.72726920661189,0.2
287,107,106,207.15148302872447,41.24999484375065,0.2
288,107,187,732.0045816495954,40.44827446730088,0.2
289,108,13,207.21204104974285,20.0,0.2
290,108,107,187.6403537328787,42.85714897959271,0.2
291,109,103,174.10804148286837,31.0,0.2
292,111,112,173.4197740628213,39.42857706122529,0.2
293,112,77,563.9968785970804,14.89830483223212,0.2
294,112,115,195.95626762367164,34.666666666666664,0.2
295,113,112,170.1970543223353,39.00000557142936,0.2
296,114,11,364.3169044334893,20.0,0.2
297,114,112,582.8290826648922,35.88461400443792,0.2
298,114,123,212.62366401696738,42.37499470312567,0.2
299,115,114,386.8739025845499,38.8125024257814,0.2
300,116,19,553.5665529094033,20.0,0.2
301,116,118,238.90930538595617,31.75,0.2
302,116,120,1001.8971532173349,25.499999588709684,0.2
303,117,116,438.64568400931495,39.0,0.2
304,118,19,412.91155287785284,20.0,0.2
305,118,119,148.79289297543758,34.28571918367417,0.2
306,119,19,376.0939383983738,20.0,0.2
307,119,121,205.34094282436703,13.080000523200022,0.2
308,120,9,368.943819198804,20.0,0.2
309,121,24,422.15875124175705,7.949999900625001,0.2
310,121,116,593.0272580581775,24.307692307692307,0.2
311,122,11,337.3008522313577,20.0,0.2
312,122,81,137.80271949783867,36.5,0.2
313,123,114,212.62366401696738,37.66666666666666,0.2
314,123,125,336.89705207971156,26.999998650000062,0.2
315,124,11,347.3738910396116,20.0,0.2
316,124,51,333.43117625681043,41.07692623668664,0.2
317,124,122,200.26680828334946,32.40000324000032,0.2
318,124,126,146.82102982883717,26.0,0.2
319,125,11,246.81121144713032,20.0,0.2
320,125,49,358.4382765902656,41.07692623668664,0.2
321,125,123,336.89705207971156,38.57142581632672,0.2
322,125,126,214.6019170464229,28.75,0.2
323,126,124,146.82102982883717,29.249996343750457,0.2
324,126,125,214.6019170464229,38.333333333333336,0.2
325,127,128,50.87297569437,40.49997975001013,0.2
326,128,127,50.87297569437,40.49997975001013,0.2
327,128,129,87.63805993402649,28.19999436000113,0.2
328,129,131,82.7948248926223,26.99999460000108,0.2
329,130,133,521.109199409299,18.666666666666668,0.2
330,131,15,496.3031002683745,20.0,0.2
331,131,132,112.00724228370257,45.00001125000281,0.2
332,131,133,81.9605273043066,43.0,0.2
333,132,148,964.4574550193516,23.05970183671197,0.2
334,133,137,83.13670691096652,44.0,0.2
335,134,135,95.50150524468256,37.50000937500234,0.2
336,135,136,65.56206266584354,35.0,0.2
337,136,138,73.4342008127002,39.0,0.2
338,137,15,368.7850707715809,20.0,0.2
339,137,134,57.0274342400218,31.0,0.2
340,137,157,480.5959358348757,35.04545613842983,0.2
341,138,127,82.03945138773159,65.9999670000165,0.2
342,138,129,54.35596218447441,41.9999790000105,0.2
343,139,1,227.76982715891043,20.0,0.2
344,139,17,536.213137720441,20.0,0.2
345,139,140,444.5021649846037,39.66666666666666,0.2
346,139,141,352.2246384397316,22.56000090240004,0.2
347,139,150,211.82613739574174,33.900003390000336,0.2
348,140,17,445.5974119359312,20.0,0.2
349,140,139,444.5021649846037,14.279999714400006,0.2
350,140,143,187.99253858597677,30.3000030300003,0.2
351,141,1,127.03750224244781,20.0,0.2
352,141,31,151.04100271118466,8.0,0.2
353,142,140,333.14060863845435,19.77777777777778,0.2
354,143,37,304.7422460047177,12.150000303750009,0.2
355,144,14,335.9925539777629,40.0,0.2
356,144,147,397.2510188828468,39.00000243750016,0.2
357,144,145,506.01806611078644,28.71428673979596,0.2
358,145,146,60.23158282828059,23.250005812501453,0.2
359,145,167,682.4376599237837,24.2,0.2
360,146,144,492.6574329536702,37.85714285714285,0.2
361,146,145,60.23158282828059,31.0,0.2
362,146,159,846.3193864830226,27.673469952519795,0.2
363,147,148,101.04416299101943,50.62499142187653,0.2
364,148,130,571.4809986585336,42.1499978925001,0.2
365,148,144,497.7613911746078,40.3499979825001,0.2
366,148,191,205.39234258378727,31.8749960156255,0.2
367,149,14,272.2104168249262,20.0,0.2
368,149,146,200.7799640028855,10.7,0.2
369,150,139,211.82613739574174,15.409091609504165,0.2
370,150,152,216.62397085502755,39.74999503125062,0.2
371,151,34,359.21329924746664,47.5,0.2
372,152,150,216.62397085502755,39.74999503125062,0.2
373,152,151,146.28614833264317,38.5,0.2
374,152,153,191.94749061657427,30.3000030300003,0.2
375,153,156,223.18183101957484,44.9999943750007,0.2
376,154,7,314.6676935896023,40.0,0.2
377,154,22,769.5379128087195,20.0,0.2
378,154,182,351.53152853335934,38.57142581632672,0.2
379,155,152,244.56812991271008,18.714285714285715,0.2
380,156,152,413.5362066279683,27.5,0.2
381,156,180,192.39442077994366,27.818179289256427,0.2
382,157,15,276.1731467920084,40.0,0.2
383,157,134,478.48692528532047,23.181818181818183,0.2
384,157,56,1007.9899866015536,33.0000006734694,0.2
385,157,174,596.0811623143283,27.90909090909091,0.2
386,158,157,480.7870661124319,35.04545613842983,0.2
387,159,162,280.43356425542225,30.0,0.2
388,159,174,142.59859139907377,16.28571312244906,0.2
389,160,163,556.6389492516671,26.25,0.2
390,161,41,632.0956153146453,40.44000161760007,0.2
391,162,14,280.05875158794805,20.0,0.2
392,162,149,365.22067896684035,30.789475304709228,0.2
393,163,20,522.1030189723098,20.0,0.2
394,163,21,540.1317908844101,20.0,0.2
395,163,22,712.803521967309,20.0,0.2
396,163,161,287.64861025911415,25.666666666666668,0.2
397,163,176,325.22919584348494,27.47368565650977,0.2
398,164,165,348.2937531739552,12.906977044348304,0.2
399,165,52,1051.068140257329,10.21818181818182,0.2
400,165,169,153.49531225415376,49.19999016000197,0.2
401,165,170,515.3056512762595,43.73684440720234,0.2
402,166,6,108.60080904394768,20.0,0.2
403,166,167,681.5189970435529,30.5,0.2
404,167,6,678.3657518855518,40.0,0.2
405,167,146,693.1218811733258,21.11320714880741,0.2
406,167,154,634.6123054103584,30.093749059570342,0.2
407,168,6,142.96875503409828,20.0,0.2
408,168,170,743.880826416604,49.875,0.2
409,169,69,744.6542022979519,44.22222222222222,0.2
410,170,166,783.1982256684764,48.23076737573972,0.2
411,167,168,726.9789275180198,46.56000186240008,0.2
412,170,165,515.3056512762595,23.657142181224508,0.2
413,171,7,143.4241196033638,20.0,0.2
414,171,22,836.1205128215669,20.0,0.2
415,171,154,372.70534584440804,34.333333333333336,0.2
416,172,7,381.1530696452543,20.0,0.2
417,172,21,520.3063930647016,20.0,0.2
418,172,171,289.09182067986654,36.00000276923099,0.2
419,172,175,548.0530338169838,39.68181998553728,0.2
420,172,177,492.2205916304193,19.72500049312501,0.2
421,172,179,173.0745739385194,23.25,0.2
422,154,172,661.2485782132162,18.31578947368421,0.2
423,174,157,596.0811623143283,17.377358162691355,0.2
424,174,159,142.59859139907377,32.57143322449046,0.2
425,174,173,458.06420554901456,28.038460460059213,0.2
426,175,174,549.8487393783857,39.840001593600064,0.2
427,176,22,499.59000000000015,20.0,0.2
428,176,179,427.7334091756219,40.23529175086519,0.2
429,173,172,576.993928603456,18.96610137345591,0.2
430,177,21,474.6125958600338,20.0,0.2
431,177,56,189.50176916324503,4.047619047619048,0.2
432,177,172,492.2205916304193,18.785714285714285,0.2
433,178,163,578.3808906510053,40.21621730314101,0.2
434,179,163,620.1280930936771,40.2,0.2
435,179,172,173.0745739385194,39.85714855102122,0.2
436,179,178,85.66846194633179,22.799995440000917,0.2
437,182,167,284.6202721860303,12.441176836505202,0.2
438,183,184,456.7544531802622,20.33333333333333,0.2
439,183,185,211.2286770303689,30.818179016529182,0.2
440,184,2,140.1595922511193,20.0,0.2
441,184,66,495.8713966342475,20.07692346301776,0.2
442,184,67,476.68663975928683,20.02702756829804,0.2
443,184,186,225.43337862880904,32.99999700000027,0.2
444,185,117,722.4567417499821,23.33333333333333,0.2
445,186,183,231.32136282669651,24.6,0.2
446,120,183,429.36350709509514,23.27586126634961,0.2
447,187,13,363.48544320371275,20.0,0.2
448,187,58,220.58569814246778,41.99999475000066,0.2
449,187,108,544.37527233426,39.68181998553728,0.2
450,188,101,451.4284179136268,40.16666666666666,0.2
451,190,23,688.5991281580307,20.0,0.2
