name,start,end,length,u,kappa,merge_priority
44-3,44,3,100.0,20.0,0.2,1
44-24,44,24,401.0,27.976744836668484,0.2,1
44-42,44,42,24.0,14.399997120000577,0.2,1
45-46,45,46,33.0,24.750006187501544,0.2,1
45-60,45,60,435.0,24.166666666666668,0.2,1
45-187,45,187,176.0,37.71428302040835,0.2,1
46-45,46,45,33.0,33.0,0.2,1
46-62,46,62,196.0,21.77777777777778,0.2,1
46-95,46,95,296.0,27.749999132812526,0.2,1
47-9,47,9,100.0,20.0,0.2,1
47-18,47,18,100.0,20.0,0.2,1
47-48,47,48,34.0,50.99997450001275,0.2,1
48-29,48,29,90.0,18.0,0.2,1
49-47,49,47,37.0,55.499972250013876,0.2,1
49-50,49,50,254.0,11.723076742721895,0.2,1
50-51,50,51,25.0,25.0,0.2,1
50-63,50,63,302.0,37.75,0.2,1
51-44,51,44,33.0,33.0,0.2,1
51-45,51,45,369.0,20.5,0.2,1
52-20,52,20,100.0,20.0,0.2,1
53-20,53,20,100.0,20.0,0.2,1
53-46,53,46,201.0,20.1,0.2,1
53-52,53,52,33.0,49.499975250012376,0.2,1
53-127,53,127,567.0,27.435483428459943,0.2,1
54-23,54,23,100.0,20.0,0.2,1
54-25,54,25,403.0,20.491525076414828,0.2,1
54-55,54,55,26.0,19.500004875001217,0.2,1
55-54,55,54,26.0,15.599996880000624,0.2,1
55-145,55,145,178.0,13.692307692307692,0.2,1
55-222,55,222,145.0,29.0,0.2,1
56-54,56,54,70.0,17.5,0.2,1
57-23,57,23,100.0,20.0,0.2,1
57-55,57,55,184.0,19.034482102259236,0.2,1
57-144,57,144,178.0,24.272728376033108,0.2,1
58-59,58,59,148.0,19.30434698676752,0.2,1
58-122,58,122,222.0,11.892856930484697,0.2,1
59-53,59,53,247.0,26.46428665943881,0.2,1
59-60,59,60,37.0,37.0,0.2,1
59-93,59,93,101.0,30.3000030300003,0.2,1
60-20,60,20,100.0,20.0,0.2,1
60-58,60,58,156.0,10.4,0.2,1
60-59,60,59,37.0,37.0,0.2,1
61-3,61,3,100.0,20.0,0.2,1
61-44,61,44,163.0,8.288135452743466,0.2,1
62-3,62,3,100.0,20.0,0.2,1
62-61,62,61,12.0,17.9999910000045,0.2,1
62-82,62,82,430.0,47.77777777777778,0.2,1
63-64,63,64,589.0,35.339999293200016,0.2,1
64-67,64,67,14.0,42.000042000042,0.2,1
64-88,64,88,113.0,19.94117529757792,0.2,1
65-21,65,21,100.0,20.0,0.2,1
65-51,65,51,504.0,28.528301348522614,0.2,1
66-64,66,64,26.0,26.0,0.2,1
66-65,66,65,401.0,35.382353981833944,0.2,1
66-208,66,208,85.0,31.8749960156255,0.2,1
67-66,67,66,25.0,10.714287244898177,0.2,1
67-185,67,185,276.0,37.63636534710752,0.2,1
68-13,68,13,100.0,20.0,0.2,1
68-69,68,69,11.0,33.000033000033,0.2,1
68-77,68,77,223.0,37.166666666666664,0.2,1
68-220,68,220,112.0,41.99999475000066,0.2,1
69-68,69,68,11.0,33.000033000033,0.2,1
69-72,69,72,107.0,32.10000321000032,0.2,1
69-111,69,111,135.0,40.500004050000406,0.2,1
70-4,70,4,100.0,20.0,0.2,1
70-71,70,71,260.0,48.75000304687519,0.2,1
70-75,70,75,18.0,54.000054000054,0.2,1
71-4,71,4,100.0,20.0,0.2,1
71-24,71,24,287.0,39.13636541528934,0.2,1
71-61,71,61,323.0,46.142857142857146,0.2,1
72-13,72,13,100.0,20.0,0.2,1
72-80,72,80,166.0,33.2,0.2,1
73-5,73,5,100.0,20.0,0.2,1
73-69,73,69,186.0,21.461537636094704,0.2,1
74-10,74,10,100.0,20.0,0.2,1
74-70,74,70,128.0,47.999994000000754,0.2,1
75-4,75,4,100.0,20.0,0.2,1
75-70,75,70,18.0,54.000054000054,0.2,1
75-76,75,76,128.0,47.999994000000754,0.2,1
75-123,75,123,107.0,40.124994984375626,0.2,1
76-10,76,10,100.0,20.0,0.2,1
76-79,76,79,89.0,44.5,0.2,1
77-5,77,5,100.0,20.0,0.2,1
77-78,77,78,16.0,48.000048000048004,0.2,1
78-5,78,5,100.0,20.0,0.2,1
78-96,78,96,142.0,15.777777777777779,0.2,1
79-10,79,10,100.0,20.0,0.2,1
79-68,79,68,291.0,22.973683605955696,0.2,1
79-80,79,80,19.0,57.000057000057005,0.2,1
79-123,79,123,185.0,39.64285431122469,0.2,1
80-10,80,10,100.0,20.0,0.2,1
80-79,80,79,19.0,57.000057000057005,0.2,1
80-81,80,81,24.0,35.999982000009,0.2,1
81-74,81,74,90.0,38.57143408163344,0.2,1
82-4,82,4,100.0,20.0,0.2,1
82-75,82,75,152.0,45.60000456000046,0.2,1
84-83,84,83,104.0,38.99999512500061,0.2,1
84-85,84,85,16.0,48.000048000048004,0.2,1
84-216,84,216,247.0,39.000002052631686,0.2,1
85-34,85,34,218.0,46.71428237755126,0.2,1
85-84,85,84,16.0,48.000048000048004,0.2,1
86-119,86,119,213.0,39.937502496093906,0.2,1
86-120,86,120,252.0,19.89473631855957,0.2,1
86-191,86,191,456.0,35.07692307692308,0.2,1
87-86,87,86,161.0,40.25,0.2,1
88-17,88,17,100.0,20.0,0.2,1
88-89,88,89,20.0,60.00006000006,0.2,1
88-91,88,91,49.0,29.39999412000118,0.2,1
88-213,88,213,399.0,27.837209949702558,0.2,1
89-17,89,17,100.0,20.0,0.2,1
89-88,89,88,20.0,20.0,0.2,1
89-90,89,90,86.0,13.578948083102532,0.2,1
90-67,90,67,29.0,43.49997825001088,0.2,1
91-160,91,160,519.0,21.929577155921447,0.2,1
92-12,92,12,100.0,20.0,0.2,1
92-59,92,59,286.0,40.857142857142854,0.2,1
93-125,93,125,465.0,39.85714171836738,0.2,1
94-12,94,12,100.0,20.0,0.2,1
94-53,94,53,227.0,40.058821173010514,0.2,1
95-46,95,46,296.0,40.36363819834719,0.2,1
95-129,95,129,182.0,26.0,0.2,1
96-5,96,5,100.0,20.0,0.2,1
96-97,96,97,16.0,48.000048000048004,0.2,1
97-73,97,73,194.0,34.235292103806344,0.2,1
97-96,97,96,16.0,48.000048000048004,0.2,1
97-133,97,133,202.0,40.4,0.2,1
98-108,98,108,88.0,37.714291102041585,0.2,1
99-8,99,8,100.0,20.0,0.2,1
99-16,99,16,100.0,20.0,0.2,1
99-100,99,100,217.0,40.687502542968915,0.2,1
99-110,99,110,90.0,38.57143408163344,0.2,1
99-114,99,114,150.0,23.684211772853253,0.2,1
100-16,100,16,100.0,20.0,0.2,1
100-99,100,99,217.0,34.26315969806104,0.2,1
100-106,100,106,168.0,38.769233751479526,0.2,1
100-107,100,107,264.0,39.5999980200001,0.2,1
101-111,101,111,173.0,32.43750202734388,0.2,1
101-144,101,144,181.0,38.78571151530632,0.2,1
102-112,102,112,292.0,22.46153846153846,0.2,1
103-16,103,16,100.0,20.0,0.2,1
103-99,103,99,29.0,43.49997825001088,0.2,1
104-16,104,16,100.0,20.0,0.2,1
104-116,104,116,96.0,41.142863020409,0.2,1
105-107,105,107,218.0,40.87500255468766,0.2,1
106-100,106,100,168.0,29.647057079584876,0.2,1
106-107,106,107,159.0,23.849998807500057,0.2,1
106-118,106,118,133.0,36.272723975206915,0.2,1
107-100,107,100,264.0,39.5999980200001,0.2,1
107-102,107,102,55.0,23.57143193877599,0.2,1
107-106,107,106,159.0,19.875,0.2,1
108-74,108,74,162.0,37.38461826035525,0.2,1
109-106,109,106,291.0,26.454545454545453,0.2,1
109-115,109,115,115.0,21.562501347656337,0.2,1
109-117,109,117,375.0,28.846153846153847,0.2,1
110-99,110,99,90.0,18.0,0.2,1
110-117,110,117,153.0,41.727268933884645,0.2,1
111-69,111,69,135.0,10.125000253125007,0.2,1
111-98,111,98,101.0,37.87499526562559,0.2,1
111-101,111,101,173.0,39.92307999408308,0.2,1
112-105,112,105,129.0,32.25,0.2,1
112-115,112,115,675.0,39.705882352941174,0.2,1
112-130,112,130,97.0,41.57143451020493,0.2,1
113-8,113,8,100.0,20.0,0.2,1
113-103,113,103,68.0,34.0,0.2,1
114-8,114,8,100.0,20.0,0.2,1
114-120,114,120,167.0,10.891304584593579,0.2,1
115-109,115,109,115.0,38.333333333333336,0.2,1
115-112,115,112,675.0,20.049504751985104,0.2,1
116-8,116,8,100.0,20.0,0.2,1
116-110,116,110,141.0,38.45454195867801,0.2,1
116-114,116,114,38.0,28.50000712500178,0.2,1
117-109,117,109,375.0,19.067796286986503,0.2,1
117-110,117,110,153.0,30.6,0.2,1
117-119,117,119,123.0,41.0,0.2,1
118-109,118,109,158.0,7.523809523809524,0.2,1
119-86,119,86,213.0,42.6,0.2,1
119-116,119,116,200.0,40.0,0.2,1
119-117,119,117,123.0,26.35714097448993,0.2,1
120-86,120,86,252.0,39.78947577839347,0.2,1
120-116,120,116,205.0,41.0,0.2,1
120-121,120,121,60.0,25.714289387755624,0.2,1
121-120,121,120,60.0,35.99999280000144,0.2,1
121-125,121,125,417.0,40.354840011446456,0.2,1
122-192,122,192,340.0,20.816326955435244,0.2,1
123-79,123,79,185.0,24.1304337334594,0.2,1
123-95,123,95,275.0,39.285714285714285,0.2,1
123-124,123,124,100.0,42.85714897959271,0.2,1
124-123,124,123,100.0,42.85714897959271,0.2,1
124-127,124,127,142.0,38.72726920661189,0.2,1
125-92,125,92,280.0,40.0,0.2,1
125-126,125,126,171.0,39.46154149704166,0.2,1
125-221,125,221,176.0,40.615387739645215,0.2,1
126-12,126,12,100.0,20.0,0.2,1
126-125,126,125,171.0,39.46154149704166,0.2,1
126-127,126,127,110.0,41.24999484375065,0.2,1
127-12,127,12,100.0,20.0,0.2,1
127-94,127,94,340.0,40.80000163200007,0.2,1
127-124,127,124,142.0,38.72726920661189,0.2,1
127-126,127,126,110.0,41.24999484375065,0.2,1
127-220,127,220,391.0,40.44827446730088,0.2,1
128-13,128,13,100.0,20.0,0.2,1
128-127,128,127,100.0,42.85714897959271,0.2,1
129-123,129,123,93.0,31.0,0.2,1
131-132,131,132,92.0,39.42857706122529,0.2,1
132-97,132,97,293.0,14.898304832232121,0.2,1
132-135,132,135,104.0,34.666666666666664,0.2,1
133-132,133,132,91.0,39.00000557142936,0.2,1
134-11,134,11,100.0,20.0,0.2,1
134-132,134,132,311.0,35.88461400443792,0.2,1
134-143,134,143,113.0,42.374994703125665,0.2,1
135-134,135,134,207.0,38.8125024257814,0.2,1
136-19,136,19,100.0,20.0,0.2,1
136-138,136,138,127.0,31.75,0.2,1
136-140,136,140,527.0,25.499999588709684,0.2,1
137-136,137,136,234.0,39.0,0.2,1
138-19,138,19,100.0,20.0,0.2,1
138-139,138,139,80.0,34.28571918367417,0.2,1
139-19,139,19,100.0,20.0,0.2,1
139-141,139,141,109.0,13.080000523200022,0.2,1
140-9,140,9,100.0,20.0,0.2,1
140-219,140,219,15.0,45.000045000045,0.2,1
141-27,141,27,212.0,7.949999900625001,0.2,1
141-136,141,136,316.0,24.307692307692307,0.2,1
142-11,142,11,100.0,20.0,0.2,1
142-101,142,101,73.0,36.5,0.2,1
143-134,143,134,113.0,37.666666666666664,0.2,1
143-145,143,145,180.0,26.999998650000066,0.2,1
144-11,144,11,100.0,20.0,0.2,1
144-57,144,57,178.0,41.07692623668664,0.2,1
144-142,144,142,108.0,32.40000324000032,0.2,1
144-146,144,146,78.0,26.0,0.2,1
145-11,145,11,100.0,20.0,0.2,1
145-55,145,55,178.0,41.07692623668664,0.2,1
145-143,145,143,180.0,38.57142581632672,0.2,1
145-146,145,146,115.0,28.75,0.2,1
146-144,146,144,78.0,29.249996343750457,0.2,1
146-145,146,145,115.0,38.333333333333336,0.2,1
147-148,147,148,27.0,40.49997975001013,0.2,1
148-147,148,147,27.0,40.49997975001013,0.2,1
148-149,148,149,47.0,28.19999436000113,0.2,1
149-151,149,151,45.0,26.99999460000108,0.2,1
150-153,150,153,280.0,18.666666666666668,0.2,1
151-15,151,15,100.0,20.0,0.2,1
151-152,151,152,60.0,45.00001125000281,0.2,1
151-153,151,153,43.0,43.0,0.2,1
152-170,152,170,515.0,23.05970183671197,0.2,1
153-157,153,157,44.0,44.0,0.2,1
154-155,154,155,50.0,37.50000937500234,0.2,1
155-156,155,156,35.0,35.0,0.2,1
156-158,156,158,39.0,39.0,0.2,1
157-15,157,15,100.0,20.0,0.2,1
157-154,157,154,31.0,31.0,0.2,1
157-184,157,184,257.0,35.04545613842983,0.2,1
158-147,158,147,44.0,65.9999670000165,0.2,1
158-149,158,149,28.0,41.9999790000105,0.2,1
159-1,159,1,100.0,20.0,0.2,1
159-17,159,17,100.0,20.0,0.2,1
159-160,159,160,238.0,39.666666666666664,0.2,1
159-161,159,161,188.0,22.560000902400038,0.2,1
159-174,159,174,113.0,33.900003390000336,0.2,1
160-17,160,17,100.0,20.0,0.2,1
160-159,160,159,238.0,14.279999714400006,0.2,1
160-163,160,163,101.0,30.3000030300003,0.2,1
161-1,161,1,100.0,20.0,0.2,1
161-32,161,32,80.0,8.0,0.2,1
162-160,162,160,178.0,19.77777777777778,0.2,1
163-38,163,38,162.0,12.150000303750009,0.2,1
164-14,164,14,100.0,20.0,0.2,1
164-168,164,168,208.0,39.00000243750016,0.2,1
165-14,165,14,100.0,20.0,0.2,1
165-166,165,166,268.0,28.714286739795956,0.2,1
166-167,166,167,31.0,23.250005812501453,0.2,1
166-198,166,198,363.0,24.2,0.2,1
167-164,167,164,265.0,37.857142857142854,0.2,1
167-166,167,166,31.0,31.0,0.2,1
167-186,167,186,452.0,27.673469952519795,0.2,1
168-169,168,169,55.0,20.624997421875324,0.2,1
168-172,168,172,50.0,29.9999940000012,0.2,1
169-150,169,150,281.0,42.1499978925001,0.2,1
170-171,170,171,24.0,35.999982000009,0.2,1
171-165,171,165,269.0,40.3499979825001,0.2,1
171-172,171,172,25.0,37.49998125000938,0.2,1
171-224,171,224,85.0,31.8749960156255,0.2,1
172-169,172,169,26.0,13.0,0.2,1
172-170,172,170,13.0,39.000039000039,0.2,1
173-14,173,14,100.0,20.0,0.2,1
173-167,173,167,107.0,10.7,0.2,1
174-159,174,159,113.0,15.409091609504165,0.2,1
174-176,174,176,106.0,39.74999503125062,0.2,1
175-41,175,41,190.0,47.5,0.2,1
176-174,176,174,106.0,39.74999503125062,0.2,1
176-175,176,175,77.0,38.5,0.2,1
176-177,176,177,18.0,54.000054000054,0.2,1
177-176,177,176,18.0,54.000054000054,0.2,1
177-178,177,178,101.0,30.3000030300003,0.2,1
178-182,178,182,120.0,44.9999943750007,0.2,1
179-7,179,7,100.0,20.0,0.2,1
179-22,179,22,100.0,20.0,0.2,1
179-202,179,202,14.0,42.000042000042,0.2,1
179-214,179,214,180.0,38.57142581632672,0.2,1
180-177,180,177,131.0,18.714285714285715,0.2,1
181-176,181,176,220.0,27.5,0.2,1
181-182,181,182,19.0,19.0,0.2,1
182-181,182,181,19.0,57.000057000057005,0.2,1
182-212,182,212,102.0,27.818179289256427,0.2,1
183-15,183,15,100.0,20.0,0.2,1
183-154,183,154,255.0,23.181818181818183,0.2,1
183-184,183,184,23.0,34.49998275000863,0.2,1
184-15,184,15,100.0,20.0,0.2,1
184-66,184,66,539.0,33.0000006734694,0.2,1
184-183,184,183,23.0,34.49998275000863,0.2,1
184-204,184,204,307.0,27.90909090909091,0.2,1
185-183,185,183,257.0,35.04545613842983,0.2,1
186-189,186,189,150.0,30.0,0.2,1
186-204,186,204,76.0,16.28571312244906,0.2,1
187-190,187,190,315.0,26.25,0.2,1
188-45,188,45,337.0,40.44000161760007,0.2,1
189-14,189,14,100.0,20.0,0.2,1
189-173,189,173,195.0,30.789475304709228,0.2,1
190-20,190,20,100.0,20.0,0.2,1
190-21,190,21,100.0,20.0,0.2,1
190-22,190,22,100.0,20.0,0.2,1
190-188,190,188,154.0,25.666666666666668,0.2,1
190-206,190,206,174.0,27.473685656509772,0.2,1
191-192,191,192,185.0,12.906977044348304,0.2,1
192-58,192,58,562.0,10.218181818181819,0.2,1
192-196,192,196,82.0,49.199990160001974,0.2,1
192-197,192,197,277.0,43.73684440720234,0.2,1
193-6,193,6,100.0,20.0,0.2,1
193-194,193,194,366.0,30.5,0.2,1
194-6,194,6,100.0,20.0,0.2,1
194-167,194,167,373.0,21.113207148807412,0.2,1
194-179,194,179,321.0,30.093749059570342,0.2,1
194-198,194,198,22.0,32.99998350000825,0.2,1
195-6,195,6,100.0,20.0,0.2,1
195-199,195,199,399.0,49.875,0.2,1
196-87,196,87,398.0,44.22222222222222,0.2,1
197-193,197,193,418.0,48.23076737573972,0.2,1
198-6,198,6,100.0,20.0,0.2,1
198-194,198,194,22.0,66.000066000066,0.2,1
198-195,198,195,388.0,46.56000186240008,0.2,1
199-192,199,192,276.0,23.657142181224508,0.2,1
199-197,199,197,12.0,36.000036000036,0.2,1
200-7,200,7,100.0,20.0,0.2,1
200-22,200,22,100.0,20.0,0.2,1
200-179,200,179,206.0,34.333333333333336,0.2,1
201-7,201,7,100.0,20.0,0.2,1
201-21,201,21,100.0,20.0,0.2,1
201-200,201,200,156.0,36.00000276923099,0.2,1
201-205,201,205,291.0,39.681819985537274,0.2,1
201-208,201,208,263.0,19.725000493125012,0.2,1
201-210,201,210,93.0,23.25,0.2,1
202-7,202,7,100.0,20.0,0.2,1
202-201,202,201,348.0,18.31578947368421,0.2,1
203-207,203,207,7.0,21.000021000021,0.2,1
204-184,204,184,307.0,17.377358162691355,0.2,1
204-186,204,186,76.0,32.57143322449046,0.2,1
204-203,204,203,243.0,28.038460460059213,0.2,1
205-204,205,204,332.0,39.840001593600064,0.2,1
206-22,206,22,100.0,20.0,0.2,1
206-210,206,210,228.0,40.23529175086519,0.2,1
207-201,207,201,373.0,18.96610137345591,0.2,1
208-21,208,21,100.0,20.0,0.2,1
208-66,208,66,85.0,4.0476190476190474,0.2,1
208-201,208,201,263.0,18.785714285714285,0.2,1
209-190,209,190,496.0,40.21621730314101,0.2,1
210-190,210,190,402.0,40.2,0.2,1
210-201,210,201,93.0,39.85714855102122,0.2,1
210-211,210,211,38.0,22.799995440000913,0.2,1
211-209,211,209,14.0,42.000042000042,0.2,1
214-194,214,194,141.0,12.441176836505202,0.2,1
215-216,215,216,244.0,20.333333333333332,0.2,1
215-217,215,217,113.0,30.818179016529182,0.2,1
216-2,216,2,100.0,20.0,0.2,1
216-83,216,83,348.0,20.07692346301776,0.2,1
216-84,216,84,247.0,20.027027568298042,0.2,1
216-218,216,218,121.0,32.99999700000027,0.2,1
217-137,217,137,420.0,23.333333333333332,0.2,1
218-215,218,215,123.0,24.6,0.2,1
219-215,219,215,225.0,23.27586126634961,0.2,1
220-13,220,13,100.0,20.0,0.2,1
220-68,220,68,112.0,41.99999475000066,0.2,1
220-128,220,128,291.0,39.681819985537274,0.2,1
221-121,221,121,241.0,40.166666666666664,0.2,1
223-23,223,23,100.0,20.0,0.2,1
